number,year,type,Luminance,Contrast,Structure
10001,2023,Modern City,191.6078292,72.02600652,72.61382249
10002,2019,Youth Idol,126.2844547,66.51709116,80.73356817
10003,2020,,145.4436214,77.99125314,112.428351
10004,2004,Family,50.93442387,61.06053446,83.36979397
10005,2014,Modern City,137.1828909,66.87384411,65.87295881
10006,2004,Historical Legend,122.9081481,83.19634234,127.2160467
10007,2002,Historical Legend,,,
10010,2016,Action Suspense,39.27764403,63.90073177,97.02285409
10011,2012,Romance Family,162.3272634,66.98754581,104.4395945
10012,2015,Revolution,96.21124486,86.09304467,110.1339334
10013,2016,War,85.20701646,66.95658415,68.41138925
10014,2023,Modern City Romance Youth Idol,204.9489198,53.18613593,55.0193016
10015,2023,Myth and Fantasy,119.5793416,51.54639288,53.00529734
10016,2024,Romance Ancient Costume,148.6192181,64.77167881,91.86322441
10017,2006,Modern City,91.10368313,73.34234113,103.2441931
10018,2006,Wuxia Ancient Costume,188.9220988,72.88043679,102.9842054
10019,2003,Wuxia Ancient Costume,166.1220988,68.41609614,84.29900962
10020,2003,Comedy Wuxia,127.68393,53.82694146,87.71622296
10021,2017,Romance Ancient Costume,140.2273457,55.35621497,70.04172735
10022,2017,Ancient Costume Myth and Fantasy,136.3071502,73.5625824,76.05706983
10023,2024,Myth and Fantasy Wuxia Ancient Costume,129.9705864,65.63261909,91.64195096
10024,2016,Comedy,131.3296708,75.17784141,135.0857748
10025,2011,Romance,179.9745988,45.33027657,71.40684483
10026,2009,Romance,96.55831276,71.07405614,74.75735572
10027,2012,War,92.58281893,85.54593316,61.84822605
10028,2005,Comedy Ancient Costume Romance,162.8176543,55.9535382,113.2506869
10030,2006,Modern City,82.86753086,70.52752012,104.6417204
10031,2001,Crime,108.4008333,83.53303652,95.14819394
10032,2012,Crime,,,
10033,2009,Crime,165.3007202,79.13061089,92.25987752
10034,2019,Crime Suspense,85.42608025,68.02105436,120.2860346
10035,2012,Youth Idol Romance,210.7137037,58.81756206,99.05538683
10036,2019,Crime,62.88485597,59.88527039,77.57559713
10038,2007,Modern City,132.0278292,86.06122161,133.1784359
10039,2008,Crime,173.0844959,53.01219064,73.07560476
10040,2005,Crime,70.43854938,73.36690989,78.56852812
10041,2003,Suspense,65.22169753,48.94671387,97.17244433
10042,2010,Crime Suspense,131.9957099,80.1340638,82.73840801
10043,2011,Action Romance Animation,69.4054321,53.07558888,87.79269871
10044,2013,Crime,105.6739918,104.0906607,68.3544714
10045,2015,Crime,143.5147222,88.33138217,82.44559362
10046,2016,Suspense,54.85279835,57.32114138,98.78478656
10047,2016,Crime,34.07316872,41.66653946,74.64070948
10048,2016,Romance Suspense Crime,169.5389095,107.2331752,105.8897136
10049,2017,Action Crime,156.8133128,67.01802905,97.05483638
10050,2017,Action Suspense Crime,78.7192284,59.09622867,112.3129607
10051,2020,Suspense Crime,84.1997428,103.2894707,95.07634842
10052,2005,Suspense Crime,70.80910494,68.38732863,82.76333729
10053,2009,Suspense Crime,86.28207819,80.05772146,117.9729424
10054,2007,Suspense Crime,88.69918724,68.75064231,87.77186698
10055,2018,Crime Suspense,68.08699588,64.4277121,97.05993657
10056,2023,Romance,160.0927572,45.99555866,41.21354996
10057,2010,Suspense,121.5609053,82.0063462,143.8449471
10058,2023,Modern City,72.97693416,40.25918732,62.18043494
10059,2020,Modern City,100.7885082,42.21821733,72.22024272
10060,2018,Youth Idol,183.0711111,62.26565717,114.2675398
10061,2018,Youth Idol,96.68023663,70.06572667,149.6847505
10062,2014,Inspiration Children,107.8909259,81.54743347,94.62427468
10063,2019,Modern City,74.16884774,61.24778881,134.1613852
10064,2014,Comedy,172.4367695,65.58631885,101.3664192
10065,2021,Romance,161.5603395,84.3289305,52.33631795
10066,2016,Modern City,186.1743519,68.66385784,63.41432243
10067,2008,Romance,128.5971502,62.47046912,86.20570788
10068,2020,Rural,145.9263477,64.77695728,75.44555057
10069,2013,Romance Modern City,153.879784,83.18433113,85.33293063
10070,2018,Inspiration,175.5062243,33.04885868,34.85795356
10071,2020,Modern City,117.1059156,78.99320155,88.42014637
10072,2019,Modern City,190.1915329,62.01052241,85.23455681
10073,2021,Modern City,127.5949383,72.0913585,110.4010024
10074,2016,Animation Children,136.1248045,56.6628017,98.7325584
10075,2006,Family,161.2297942,74.31555864,118.5465981
10076,2020,Comedy,120.9266358,62.86363056,117.4340661
10077,2016,Romance,174.2868416,74.47929571,81.15203772
10078,2015,Modern City,200.0479218,85.11883383,106.4053093
10079,2017,Sci-Fi,126.7538066,77.00314772,115.9605226
10080,2004,Family,110.5740123,76.73716871,111.7286012
10081,2016,War,110.3615844,59.98612029,121.0751793
10082,2015,Revolution War,108.7933128,61.05018728,120.5856698
10083,2011,Spy Warfare,78.56290123,72.93343881,96.54836715
10084,2019,Romance Sci-Fi,190.6542284,49.30064983,85.22253553
10085,2013,Spy Warfare,58.87493827,59.88795211,102.1226697
10086,2002,,139.4883333,44.44657458,42.3534955
10087,2020,Crime,141.7801955,60.72932262,55.47179357
10088,2016,War,92.69575103,64.82960091,129.234892
10089,2008,,72.35841564,53.57624192,120.8568528
10090,2023,Romance,112.2898457,66.82030839,73.23493917
10091,2004,Military,106.7184259,84.74002403,150.8012644
10092,2007,Ancient Costume,102.0339815,38.96135243,52.97717929
10093,2009,War,75.27119342,69.26657691,97.18660138
10094,2016,Modern City Romance,163.75143,54.27531225,122.0239899
10095,2016,Youth Idol,162.2089712,54.81133836,83.52454845
10096,2020,Modern City,148.5154321,60.57757694,63.53246234
10097,2021,Romance,195.8555967,44.23364862,67.46764787
10098,2017,Modern City Romance,101.062644,72.07203155,120.2678126
10099,2019,Modern City Youth Idol,167.0044444,65.37559512,109.4256087
10100,2005,Crime,63.35842593,52.67334324,74.69483426
10101,2003,Crime Suspense,118.8482819,56.68877198,64.18140426
10102,2019,Modern City,182.1832819,58.65006901,34.58184446
10103,2023,Romance Modern City,129.0880658,70.24815509,91.08844539
10104,2004,Modern City,166.5907305,72.36343274,96.11489071
10105,2014,Romance,163.8056173,84.66475084,112.830775
10106,2008,Romance Family,85.63961934,70.09514589,98.22397793
10107,2009,Family,113.6863477,63.21338257,127.7204396
10108,2001,Family,129.2969136,71.23125795,87.33919066
10109,2008,Drama,102.788251,61.52043036,111.7585809
10110,2004,Comedy Romance Ancient Costume,122.8746605,50.19765562,123.4181808
10111,2010,Romance Modern City,187.8996399,90.20967904,78.28987806
10112,2003,,111.2490741,66.66941738,134.2783029
10113,2009,Historical Legend,58.73961934,50.23715927,62.36004434
10114,2007,,,,
10115,2019,Romance,169.2802469,63.49670709,67.36830062
10116,2015,Crime,82.28842593,62.0014238,106.7656776
10117,2003,Rural,121.2872634,37.6897538,73.20037854
10118,2018,Crime,144.1748457,87.86326577,126.096418
10119,2003,Romance,131.7279218,89.57305825,81.18505622
10120,2008,,194.9550206,61.5625674,93.49913416
10121,2002,Romance,,,
10122,2007,Modern City Youth Idol,149.5608539,79.59999225,108.2716284
10123,2003,Family,110.4285288,58.2007537,141.0806458
10124,2006,Suspense Family,48.6672428,53.11666863,79.03258726
10125,2013,War,117.3291667,74.18383747,86.6657228
10126,2018,Revolution,121.3688272,58.85171289,103.2730419
10127,2023,Modern City,41.09728395,45.86862525,40.88351129
10128,2004,Family,120.1283539,71.5986258,125.63404
10129,2001,Crime,95.14127572,77.32530902,128.1985363
10131,2015,Action Romance,71.86515432,62.09297767,110.9293623
10132,2013,War,111.8379835,50.58140777,124.6192668
10133,2015,Modern City Romance,97.07416667,76.07943991,131.3565343
10134,2012,Crime,84.22717078,66.29141122,128.9546156
10135,2017,,164.7088683,51.96900979,97.82653911
10136,2022,Romance,195.3074383,36.86555763,51.33201613
10137,2004,Modern City,164.3257202,59.95106026,105.9345902
10138,2011,Wuxia Ancient Costume,100.7438683,52.93212959,78.6401229
10139,2006,Ancient Costume,50.71044239,60.17655791,87.12481612
10140,2004,Romance,149.8442078,71.39258658,84.59534008
10141,2012,Historical Legend,56.42513374,73.83268046,107.1514821
10142,2018,Modern City,197.5527984,52.22903394,85.33018658
10143,2005,Romance,,,
10144,2011,Ancient Costume,120.2713169,73.68150588,171.3953804
10145,2024,Ancient Costume,41.99334362,39.1188648,87.22439907
10146,2012,Ancient Costume Romance,94.08751029,71.17953419,86.52240216
10147,2006,Inspiration Romance,131.2243313,63.56084974,95.66457281
10148,2008,,70.3229321,65.34987638,117.4634396
10149,2003,,201.7842901,75.27088654,64.28430728
10150,2010,Family Romance,105.1503704,73.77413507,105.1195755
10151,2001,,94.66070988,62.9435546,115.2861941
10152,2011,Suspense Family Romance,96.68523663,61.87809641,70.05191487
10153,2011,Family,185.3459671,68.68419528,75.8372848
10154,2015,Family Modern City,153.68143,85.22537674,127.4475405
10155,2016,Animation Wuxia,164.8781584,72.11782968,88.45967587
10156,2010,Animation,175.1200514,76.56921236,133.1122703
10157,2014,Family,186.7850514,59.07077972,90.97743124
10158,2016,Modern City Romance,45.94425926,63.91760755,62.52526728
10159,2020,Modern City Youth Idol,133.1717798,66.68245961,112.0174995
10160,2008,Romance,54.88858025,64.97518926,76.09982437
10161,2011,Romance Historical Legend Ancient Costume,95.71122428,52.00086393,96.23983248
10162,2014,Suspense Youth Idol Modern City,60.74496914,53.96060968,112.2879279
10163,2017,Historical Legend Ancient Costume,132.8715947,57.6420634,66.30727443
10164,2017,Suspense,100.8887654,82.29112224,85.12852674
10165,2018,Romance Youth Idol,195.2302366,55.48775423,69.95725946
10166,2019,Action Wuxia Ancient Costume,197.327572,42.28957933,63.57849572
10167,2024,Modern City,153.3441358,55.51076552,76.50892884
10168,2022,Suspense,88.08932099,57.13074426,115.4706504
10171,2023,Ancient Costume Romance,175.2901235,52.76529117,41.57533174
10172,2009,,76.71630658,77.29831051,103.6198183
10173,2021,Romance Ancient Costume,65.14013374,39.14113145,78.63754143
10174,2020,Romance,29.2090535,36.26541506,50.2638214
10175,2012,Suspense,103.2692798,78.50092015,99.01334865
10176,2017,Revolution,80.65022634,57.50331628,103.9495656
10177,2000,Crime,,,
10178,2006,Crime,103.0817901,83.442389,161.2849928
10179,2005,Modern City,96.40322016,74.62311737,103.6398027
10182,2010,Crime,97.96959877,84.40431266,111.0863925
10183,2001,Suspense,,,
